id,title,released,popularity,average_stars,total_votes,genres,overview
998771,Si saben cómo me pongo ¿Pa' qué me invitan? 2,2022-07-13,622.265,2.0,2,['Comedy'],"The El Encanto resort once again hosts a retreat for four couples -- including a liar, a sex addict and a thief -- seeking to fix their relationships."
864370,Incantation,2022-03-18,617.813,7.2,238,['Horror'],"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse.  WARNING: This is a cursed video, it might contain certain risks to watch. For those who dares to follow, please solve the puzzle of my daughter's curse with me."
585083,Hotel Transylvania: Transformania,2022-02-25,575.094,7.1,1132,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']","When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy."
613093,Valley of the Dead,2022-03-11,560.126,6.3,153,"['Comedy', 'Horror', 'War']","They're soldiers on different sides of the war. But when the dead come back to life, the only side they want to be on is the one that survives."
438695,Sing 2,2021-12-01,542.392,8.0,3033,"['Animation', 'Comedy', 'Family', 'Music']","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage."
615469,Spiderhead,2022-06-15,536.74,5.8,818,"['Science Fiction', 'Thriller']",A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.
768744,My Hero Academia: World Heroes' Mission,2021-08-06,535.272,7.6,249,"['Animation', 'Action', 'Adventure', 'Science Fiction']","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia."
760741,Beast,2022-08-11,532.478,6.6,7,"['Thriller', 'Horror']","A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them."
900667,One Piece Film: Red,2022-08-06,529.497,7.3,23,"['Animation', 'Adventure', 'Action', 'Fantasy']","Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound. The story begins with the shocking fact that she is ""Shanks' daughter.”"
809107,Z-O-M-B-I-E-S 3,2022-07-09,522.446,7.9,190,"['Music', 'Fantasy', 'Comedy', 'Science Fiction', 'Family', 'TV Movie']","Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition."
